honk|direct|9377|2.834|4.268|10.150|118.877|0/200
honk|hy2|5104|2.527|3.713|7.225|7.529|1/200
honk|tuic|6078|2.382|4.202|8.048|13.372|0/200
dae|direct|9371|2.212|3.717|5.931|10.232|0/200
dae|hy2|5323|2.408|3.565|11.284|14.016|0/200
dae|tuic|4603|77.068|77.993|81.657|86.578|0/200
