honk|direct|0.006661|-|-|889|0.00|57
honk|hy2|0.010434|0.008750|0.011131|269|1.33|61
honk|hy2/udp|0.002921|-|-|35(97.3%)|1.84|-
honk|tuic|0.012345|0.007986|0.009774|262|1.35|53
honk|tuic/udp|0.002675|-|-|54(97.9%)|1.76|-
honk|ss2022|0.015755|0.006573|0.008149|350|0.87|57
honk|ss2022/udp|0.002021|-|-|35(71.8%)|0.92|-
honk|trojan|0.016222|0.006481|0.016280|279|0.88|49
honk|trojan/udp|0.002366|-|-|32(96.5%)|0.86|-
dae|direct|0.006630|-|-|899|0.01|42
dae|hy2|0.038959|0.007718|0.008298|189|1.84|60
dae|hy2/udp|0.003121|-|-|29(97.3%)|2.15|-
dae|tuic|0.109891|0.083254|0.084803|197|1.79|51
dae|tuic/udp|0.003513|-|-|31(94.1%)|2.20|-
dae|ss2022|0.010573|0.009021|0.013074|252|0.87|43
dae|ss2022/udp|0.002581|-|-|39(89.4%)|1.29|-
dae|trojan|0.039124|0.015595|0.019463|173|0.78|44
dae|trojan/udp|0.002675|-|-|49(97.0%)|1.47|-
