honk|direct|9382|2.352|4.722|6.118|11.582|0/200
honk|hy2|5597|2.391|3.359|6.095|16.981|0/200
honk|tuic|6197|2.683|6.694|16.031|16.927|2/200
honk|ss2022|9319|2.573|5.011|17.161|18.311|0/200
honk|trojan|9300|2.272|4.873|12.416|17.280|0/200
honk|anytls-sb|8852|4.777|6.101|8.510|13.487|0/200
honk|anytls-go|9027|5.944|12.324|16.813|21.436|0/200
dae|direct|9394|2.353|3.341|5.272|12.440|0/200
dae|hy2|3465|3.195|13.755|176.642|399.369|0/200
dae|tuic|4848|77.108|82.733|87.135|88.816|4/200
dae|ss2022|invalid|-|-|-|-|arm-failed
dae|trojan|9124|5.940|18.994|23.151|31.855|5/200
dae|anytls-sb|8156|2.480|5.367|14.031|17.097|3/200
dae|anytls-go|9071|3.577|15.278|17.282|17.465|1/200
