honk|direct|0.004809|-|-|9404|0.00|50
honk|hy2|0.002467|0.001578|0.001923|5792|0.59|53
honk|hy2/udp|0.000108|-|-|1490(58.9%)|0.84|-
honk|tuic|0.002361|0.001605|0.001823|6906|0.66|50
honk|tuic/udp|0.000158|-|-|1982(46.5%)|1.23|-
honk|ss2022|0.003505|0.001522|0.011916|9151|0.37|51
honk|ss2022/udp|0.000222|-|-|1456(59.7%)|1.24|-
honk|trojan|0.006404|0.001448|0.006080|9097|0.42|46
honk|trojan/udp|0.000135|-|-|1739(57.4%)|1.26|-
honk|anytls-sb|0.002779|0.002239|0.003074|8532|0.46|46
honk|anytls-sb/udp|0.000193|-|-|1194(69.1%)|0.73|-
honk|anytls-go|0.002977|0.001747|0.004150|9105|0.49|53
honk|anytls-go/udp|0.000071|-|-|1249(66.2%)|0.79|-
dae|direct|0.004520|-|-|9408|0.00|48
dae|hy2|0.031735|0.001522|0.001830|5046|1.09|66
dae|hy2/udp|0.000105|-|-|828(79.8%)|0.72|-
dae|tuic|0.080639|0.078255|0.078612|5065|1.02|65
dae|tuic/udp|0.000134|-|-|1922(49.8%)|1.48|-
dae|ss2022|0.007451|0.001979|0.006617|9259|0.42|54
dae|ss2022/udp|0.000184|-|-|2675(30.1%)|1.64|-
dae|trojan|0.007045|0.005770|0.016777|9100|0.64|58
dae|trojan/udp|0.000099|-|-|2916(24.3%)|1.59|-
dae|anytls-sb|0.007891|0.002045|0.005327|7905|0.55|59
dae|anytls-sb/udp|0.000084|-|-|1211(68.4%)|0.70|-
dae|anytls-go|0.007595|0.001919|0.002523|9036|0.61|61
dae|anytls-go/udp|0.000090|-|-|1250(65.4%)|0.75|-
