honk|direct|0.006806|-|-|437|0.76|49
honk|hy2|0.009911|0.008138|0.008915|304|1.32|60
honk|hy2/udp|0.002891|-|-|35(98.3%)|1.89|-
honk|tuic|0.008458|0.006916|0.008272|285|1.27|53
honk|tuic/udp|0.002929|-|-|49(97.2%)|1.84|-
honk|ss2022|0.006274|0.005822|0.006591|384|0.86|53
honk|ss2022/udp|0.002112|-|-|36(89.0%)|0.90|-
honk|trojan|0.021127|0.005969|0.020527|328|0.92|53
honk|trojan/udp|0.002075|-|-|36(98.4%)|0.90|-
dae|direct|0.004941|-|-|931|0.01|39
dae|hy2|0.034193|0.007349|0.009395|197|1.85|54
dae|hy2/udp|0.003467|-|-|29(97.8%)|2.17|-
dae|tuic|0.104393|0.083254|0.084225|209|1.77|49
dae|tuic/udp|0.003627|-|-|32(95.0%)|2.30|-
dae|ss2022|0.010017|0.009003|0.012670|264|0.84|40
dae|ss2022/udp|0.002633|-|-|41(94.6%)|1.26|-
dae|trojan|0.024290|0.019679|0.023438|200|0.78|41
dae|trojan/udp|0.002670|-|-|56(97.2%)|1.45|-
honk|direct|0.006816|-|-|479|0.73|50
honk|hy2|0.009159|0.008015|0.009419|301|1.33|59
honk|hy2/udp|0.002820|-|-|36(97.2%)|1.87|-
honk|tuic|0.006872|0.006482|0.007252|300|1.32|52
honk|tuic/udp|0.002856|-|-|51(98.4%)|1.82|-
honk|ss2022|0.006467|0.006024|0.007025|385|0.85|55
honk|ss2022/udp|0.002056|-|-|42(91.0%)|0.92|-
honk|trojan|0.014618|0.005975|0.015318|328|0.91|51
honk|trojan/udp|0.002617|-|-|34(98.1%)|0.90|-
dae|direct|0.004278|-|-|931|0.01|39
dae|hy2|0.038291|0.007359|0.008426|196|1.93|53
dae|hy2/udp|0.003323|-|-|30(97.3%)|2.21|-
dae|tuic|0.097495|0.082806|0.083996|206|1.77|50
dae|tuic/udp|0.003393|-|-|28(95.0%)|2.29|-
dae|ss2022|0.013323|0.009183|0.011114|266|0.84|41
dae|ss2022/udp|0.002519|-|-|41(93.6%)|1.25|-
dae|trojan|0.026466|0.020094|0.025234|201|0.79|42
dae|trojan/udp|0.003132|-|-|45(97.7%)|1.35|-
