honk|direct|0.004393|-|-|885|0.02|61
honk|hy2|0.011832|0.007936|0.009055|268|1.34|59
honk|hy2/udp|0.002769|-|-|35(98.1%)|1.82|-
honk|tuic|0.007952|0.007055|0.007923|259|1.36|62
honk|tuic/udp|0.002562|-|-|51(98.2%)|1.75|-
honk|ss2022|0.008008|0.005908|0.007408|353|0.88|55
honk|ss2022/udp|0.002317|-|-|35(74.1%)|0.92|-
honk|trojan|0.025540|0.005923|0.013910|283|0.87|57
honk|trojan/udp|0.001968|-|-|28(96.9%)|0.86|-
dae|direct|0.004452|-|-|903|0.01|39
dae|hy2|0.039608|0.007274|0.008633|189|1.87|54
dae|hy2/udp|0.003240|-|-|28(97.9%)|2.16|-
dae|tuic|0.108895|0.083077|0.083751|190|1.79|49
dae|tuic/udp|0.003392|-|-|33(94.8%)|2.22|-
dae|ss2022|0.014540|0.008631|0.012874|245|0.86|41
dae|ss2022/udp|0.002601|-|-|37(87.4%)|1.25|-
dae|trojan|0.017621|0.015941|0.022628|172|0.76|41
dae|trojan/udp|0.002505|-|-|52(97.2%)|1.48|-
honk|direct|0.004194|-|-|876|0.00|61
honk|hy2|0.008832|0.008209|0.009300|266|1.33|58
honk|hy2/udp|0.002626|-|-|38(98.2%)|1.79|-
honk|tuic|0.007689|0.006966|0.007455|260|1.35|60
honk|tuic/udp|0.002812|-|-|52(98.2%)|1.75|-
honk|ss2022|0.007077|0.005763|0.007793|352|0.87|53
honk|ss2022/udp|0.002044|-|-|34(74.6%)|0.91|-
honk|trojan|0.013572|0.006242|0.015211|274|0.87|59
honk|trojan/udp|0.001875|-|-|30(97.7%)|0.86|-
dae|direct|0.003824|-|-|889|0.01|39
dae|hy2|0.034630|0.007512|0.008112|186|1.82|53
dae|hy2/udp|0.003469|-|-|28(98.1%)|2.14|-
dae|tuic|0.096366|0.083091|0.083738|193|1.76|49
dae|tuic/udp|0.003473|-|-|31(95.0%)|2.18|-
dae|ss2022|0.009535|0.008829|0.009362|249|0.87|41
dae|ss2022/udp|0.002578|-|-|38(87.7%)|1.27|-
dae|trojan|0.028914|0.016002|0.017590|171|0.78|41
dae|trojan/udp|0.003213|-|-|47(96.6%)|1.42|-
