honk|direct|0.002310|-|-|9407|0.00|51
honk|hy2|0.003077|0.001341|0.001995|6832|0.70|52
honk|hy2/udp|0.000156|-|-|1641(60.0%)|0.89|-
honk|tuic|0.002246|0.001683|0.002419|5664|0.58|51
honk|tuic/udp|0.000095|-|-|2199(47.7%)|1.49|-
honk|ss2022|0.002503|0.001495|0.001966|9401|0.35|54
honk|ss2022/udp|0.000191|-|-|1413(62.9%)|1.25|-
honk|trojan|0.005768|0.001332|0.003734|9389|0.40|51
honk|trojan/udp|0.000076|-|-|1678(59.5%)|1.26|-
honk|anytls-sb|0.002461|0.001534|0.002321|9404|0.46|48
honk|anytls-sb/udp|0.000063|-|-|1243(67.1%)|0.70|-
honk|anytls-go|0.002017|0.001583|0.002111|9395|0.48|47
honk|anytls-go/udp|0.000081|-|-|1318(65.8%)|0.75|-
