honk|direct|0.002089|-|-|9409|0.00|51
honk|hy2|0.003630|0.002379|0.004728|5670|0.58|55
honk|hy2/udp|0.000132|-|-|1795(57.8%)|1.00|-
honk|tuic|0.002843|0.001760|0.002441|7177|0.68|48
honk|tuic/udp|0.000070|-|-|2148(46.6%)|1.40|-
honk|ss2022|0.002837|0.001717|0.002503|9390|0.36|53
honk|ss2022/udp|0.000214|-|-|1958(48.1%)|1.28|-
honk|trojan|0.005273|0.001281|0.004297|9386|0.41|53
honk|trojan/udp|0.000056|-|-|1719(59.9%)|1.27|-
honk|anytls-sb|0.002862|0.001738|0.002292|9404|0.46|52
honk|anytls-sb/udp|0.000093|-|-|1239(69.0%)|0.67|-
honk|anytls-go|0.002274|0.001357|0.002686|9399|0.44|49
honk|anytls-go/udp|0.000079|-|-|1338(66.6%)|0.79|-
